Repository,Type,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
upbound / provider-aws,Upjet,https://github.com/upbound/provider-aws,Official AWS Provider for Crossplane by Upbound.,44,18,168,2023-02-24,2022-10-04,2023-02-22,https://doc.crds.dev/github.com/upbound/provider-aws@v0.30.0,872,1,871,0
grafana / crossplane-provider-grafana,Upjet,https://github.com/grafana/crossplane-provider-grafana,Crossplane provider of https://github.com/grafana/terraform-provider-grafana. Generated by https://github.com/upbound/upjet,12,8,1,2023-02-24,2022-11-22,2023-02-07,https://doc.crds.dev/github.com/grafana/crossplane-provider-grafana@v0.2.0,30,28,2,0
yandex-cloud / provider-jet-yc,Terrajet,https://github.com/yandex-cloud/provider-jet-yc,Crossplane provider for Yandex.Cloud,24,14,6,2023-02-23,2021-12-13,0001-01-01,,0,0,0,0
upbound / provider-gcp,Upjet,https://github.com/upbound/provider-gcp,Official GCP Provider for Crossplane by Upbound.,16,17,87,2023-02-23,2022-10-05,2023-02-21,https://doc.crds.dev/github.com/upbound/provider-gcp@v0.28.0,325,1,324,0
crossplane-contrib / provider-kubernetes,Native,https://github.com/crossplane-contrib/provider-kubernetes,Crossplane provider to provision and manage Kubernetes objects on (remote) Kubernetes clusters.,76,9,37,2023-02-23,2021-07-13,2023-02-28,https://doc.crds.dev/github.com/crossplane-contrib/provider-kubernetes@v0.7.0,3,3,0,0
bretagne-peiqi / upjet-ali,Upjet,https://github.com/bretagne-peiqi/upjet-ali,,0,1,0,2023-02-23,2022-11-25,0001-01-01,,0,0,0,0
crossplane-contrib / provider-aws,Native,https://github.com/crossplane-contrib/provider-aws,Crossplane AWS Provider,316,22,251,2023-02-23,2019-09-01,2023-02-16,https://doc.crds.dev/github.com/crossplane-contrib/provider-aws@v0.37.1,178,141,37,0
upbound / provider-azure,Upjet,https://github.com/upbound/provider-azure,Official Azure Provider for Crossplane by Upbound.,17,17,112,2023-02-23,2022-10-05,2023-02-21,https://doc.crds.dev/github.com/upbound/provider-azure@v0.28.0,692,1,691,0
upsidr / provider-civo-upjet,Upjet,https://github.com/upsidr/provider-civo-upjet,Civo Crossplane provider generated from Terraform,0,2,0,2023-02-23,2023-02-09,0001-01-01,,0,0,0,0
niklasbeinghaus / provider-bitwarden,Upjet,https://github.com/niklasbeinghaus/provider-bitwarden,,0,1,1,2023-02-21,2023-02-21,0001-01-01,,0,0,0,0
upbound / provider-azuread,Upjet,https://github.com/upbound/provider-azuread,,2,18,6,2023-02-21,2022-11-29,2023-02-20,https://doc.crds.dev/github.com/upbound/provider-azuread@v0.4.0,29,1,28,0
oracle-samples / provider-jet-oci,Terrajet,https://github.com/oracle-samples/provider-jet-oci,,0,2,2,2023-02-21,2022-12-21,0001-01-01,,0,0,0,0
smondeli / provider-github,Upjet,https://github.com/smondeli/provider-github,Crossplane provider for github,0,1,0,2023-02-21,2023-02-21,0001-01-01,,0,0,0,0
smondeli / provider-oci,Upjet,https://github.com/smondeli/provider-oci,Provider OCI is a Crossplane provider for Oracle Cloud Infrastructure (OCI),0,1,0,2023-02-20,2023-02-20,0001-01-01,,0,0,0,0
crossplane-contrib / provider-palette,Upjet,https://github.com/crossplane-contrib/provider-palette,,1,5,0,2023-02-20,2022-06-10,2023-02-24,https://doc.crds.dev/github.com/crossplane-contrib/provider-palette@v0.11.0,38,36,2,0
crossplane-contrib / provider-palette,Upjet,https://github.com/crossplane-contrib/provider-palette,,1,5,0,2023-02-20,2022-06-10,2023-02-24,https://doc.crds.dev/github.com/crossplane-contrib/provider-palette@v0.11.0,38,36,2,0
ankasoftco / provider-cmdb,Native,https://github.com/ankasoftco/provider-cmdb,ServiceNow CMDB Provider for Crossplane,2,0,0,2023-02-19,2022-11-26,0001-01-01,,0,0,0,0
cevans111 / provider-rancher2,Upjet,https://github.com/cevans111/provider-rancher2,,0,1,0,2023-02-19,2023-02-19,0001-01-01,,0,0,0,0
DANIELF01 / provider-databricks,Upjet,https://github.com/DANIELF01/provider-databricks,Crossplane Provider for Databricks,0,1,0,2023-02-19,2023-02-19,0001-01-01,,0,0,0,0
crossplane-contrib / provider-gcp,Native,https://github.com/crossplane-contrib/provider-gcp,Crossplane GCP provider,101,16,94,2023-02-18,2019-08-23,2022-10-10,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp@v0.22.0,29,18,11,0
ashwinshirva / provider-grpc,Native,https://github.com/ashwinshirva/provider-grpc,,0,1,0,2023-02-18,2023-02-18,0001-01-01,,0,0,0,0
mondragonfx / provider-vultr,Upjet,https://github.com/mondragonfx/provider-vultr,Crossplane Vultr provider,0,1,0,2023-02-18,2023-02-18,0001-01-01,,0,0,0,0
mondragonfx / crossplane-vultr-provider,Upjet,https://github.com/mondragonfx/crossplane-vultr-provider,Crossplane Vultr provider ,0,1,0,2023-02-17,2023-02-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-digitalocean,Native,https://github.com/crossplane-contrib/provider-digitalocean,Crossplane DigitalOcean infrastructure provider,35,8,23,2023-02-17,2020-12-16,2022-10-12,https://doc.crds.dev/github.com/crossplane-contrib/provider-digitalocean@v0.2.0,7,7,0,0
haorenfsa / provider-milvus,Native,https://github.com/haorenfsa/provider-milvus,milvus provider for crossplane,0,2,0,2023-02-17,2022-02-08,0001-01-01,,0,0,0,0
andy-mcgrath / provider-gitlab,Upjet,https://github.com/andy-mcgrath/provider-gitlab,Crossplane upjet generated provider for GitLab,0,1,0,2023-02-16,2023-02-16,0001-01-01,,0,0,0,0
ashwinshirva / provider-template,Native,https://github.com/ashwinshirva/provider-template,,0,1,0,2023-02-16,2023-02-16,0001-01-01,,0,0,0,0
ashwinshirva / crossplane,Native,https://github.com/ashwinshirva/crossplane,,0,1,0,2023-02-16,2023-02-15,0001-01-01,,0,0,0,0
alexinthesky / provider-postgresql,Upjet,https://github.com/alexinthesky/provider-postgresql,,0,1,0,2023-02-15,2023-02-15,0001-01-01,,0,0,0,0
coopnorge / provider-github,Upjet,https://github.com/coopnorge/provider-github,,2,2,0,2023-02-15,2023-01-04,0001-01-01,,0,0,0,0
IntaSlapna / provider-github,Upjet,https://github.com/IntaSlapna/provider-github,,0,1,0,2023-02-15,2023-02-15,0001-01-01,,0,0,0,0
shift / provider-gsuite,Upjet,https://github.com/shift/provider-gsuite,Crossplane Provider for GSuite,0,1,0,2023-02-14,2023-02-14,0001-01-01,,0,0,0,0
cevans111 / provider-rancher,Upjet,https://github.com/cevans111/provider-rancher,,0,1,0,2023-02-13,2023-02-13,0001-01-01,,0,0,0,0
ionos-cloud / crossplane-provider-ionoscloud,Native,https://github.com/ionos-cloud/crossplane-provider-ionoscloud,The Crossplane Provider for IONOS Cloud gives the ability to manage IONOS Cloud infrastructure directly from Kubernetes.,5,4,0,2023-02-13,2022-01-26,2023-02-01,https://doc.crds.dev/github.com/ionos-cloud/crossplane-provider-ionoscloud@v1.0.3,18,18,0,0
crossplane-contrib / provider-gitlab,Native,https://github.com/crossplane-contrib/provider-gitlab,Crossplane Gitlab provider,39,6,10,2023-02-13,2020-11-27,2022-01-19,https://doc.crds.dev/github.com/crossplane-contrib/provider-gitlab@v0.2.0,10,8,2,0
crossplane-contrib / provider-argocd,Native,https://github.com/crossplane-contrib/provider-argocd,Crossplane provider to provision and manage Argo CD objects,39,8,11,2023-02-12,2021-04-06,2021-12-15,https://doc.crds.dev/github.com/crossplane-contrib/provider-argocd@v0.1.0,5,5,0,0
outscale-vbr / upjet-provider-outscale,Upjet,https://github.com/outscale-vbr/upjet-provider-outscale,,0,1,1,2023-02-10,2023-02-10,0001-01-01,,0,0,0,0
crossplane-contrib / provider-terraform,Native,https://github.com/crossplane-contrib/provider-terraform,A @crossplane provider for Terraform,87,11,25,2023-02-10,2021-03-06,2022-12-05,https://doc.crds.dev/github.com/crossplane-contrib/provider-terraform@v0.6.0,4,4,0,0
dfds / provider-confluent,Native,https://github.com/dfds/provider-confluent,Crossplane provider for Confluent Cloud,2,5,2,2023-02-10,2021-11-24,2022-06-09,https://doc.crds.dev/github.com/dfds/provider-confluent@v0.0.6,6,6,0,0
FCosta999 / provider-openstack,Upjet,https://github.com/FCosta999/provider-openstack,,0,1,0,2023-02-10,2023-02-10,0001-01-01,,0,0,0,0
iddunk / crossplane-provider,Native,https://github.com/iddunk/crossplane-provider,,0,1,0,2023-02-10,2023-02-10,0001-01-01,,0,0,0,0
AdrianFarmadin / provider-vault,Upjet,https://github.com/AdrianFarmadin/provider-vault,,0,1,2,2023-02-09,2023-02-09,0001-01-01,,0,0,0,0
balu-ce / provider-spotinst,Upjet,https://github.com/balu-ce/provider-spotinst,,0,2,0,2023-02-09,2023-02-09,0001-01-01,,0,0,0,0
mirzakopic / provider-upjet-exp,Upjet,https://github.com/mirzakopic/provider-upjet-exp,,0,1,0,2023-02-08,2023-02-08,0001-01-01,,0,0,0,0
crossplane-contrib / provider-cloudinit,Native,https://github.com/crossplane-contrib/provider-cloudinit,Crossplane provider for Cloud-init templating,10,3,3,2023-02-08,2021-03-27,0001-01-01,,0,0,0,0
zscaler / crossplane-provider-zpa,Upjet,https://github.com/zscaler/crossplane-provider-zpa,Zscaler Private Access (ZPA) Provider for Crossplane.,4,2,0,2023-02-07,2023-01-02,2023-01-13,https://doc.crds.dev/github.com/zscaler/crossplane-provider-zpa@v0.1.0,20,18,2,0
cdloh / provider-cloudflare,Upjet,https://github.com/cdloh/provider-cloudflare,Cloudflare Provider for Crossplane using upjet,1,1,0,2023-02-06,2022-12-20,2023-01-12,https://doc.crds.dev/github.com/cdloh/provider-cloudflare@v0.1.0,93,91,2,0
appclacks / provider-appclacks,Upjet,https://github.com/appclacks/provider-appclacks,Crossplane provider for Appclacks,2,1,3,2023-02-05,2023-01-15,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-equinix,Terrajet,https://github.com/crossplane-contrib/provider-jet-equinix,Crossplane Provider for Equinix based on the Terraform provider,6,3,7,2023-02-04,2021-11-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-styra,Native,https://github.com/crossplane-contrib/provider-styra,Crossplane Provider for Styra,12,4,2,2023-02-03,2021-07-26,2022-10-11,https://doc.crds.dev/github.com/crossplane-contrib/provider-styra@v0.3.0,6,6,0,0
mjnovice / provider-azure,Upjet,https://github.com/mjnovice/provider-azure,,0,1,0,2023-01-31,2022-12-16,0001-01-01,,0,0,0,0
FrangipaneTeam / provider-flexibleengine,Upjet,https://github.com/FrangipaneTeam/provider-flexibleengine,Crossplane provider that  exposes XRM-conformant managed resources for the FlexibleEngine API.,11,2,11,2023-01-31,2022-12-07,2023-01-24,https://doc.crds.dev/github.com/FrangipaneTeam/provider-flexibleengine@v0.4.0,169,1,168,0
flerwin / provider-jet-vultr,Upjet,https://github.com/flerwin/provider-jet-vultr,Crossplane provider for vultr,0,0,0,2023-01-31,2022-11-29,0001-01-01,,0,0,0,0
m-augustine / provider-auth0,Upjet,https://github.com/m-augustine/provider-auth0,,0,1,0,2023-01-31,2023-01-31,0001-01-01,,0,0,0,0
crossplane-contrib / provider-ansible,Native,https://github.com/crossplane-contrib/provider-ansible,Crossplane provider to execute Ansible contents remotely inside a Kubernetes cluster.,36,2,14,2023-01-31,2021-11-24,2023-01-26,https://doc.crds.dev/github.com/crossplane-contrib/provider-ansible@v0.4.1,3,3,0,0
crossplane-contrib / provider-tencentcloud,Terrajet,https://github.com/crossplane-contrib/provider-tencentcloud,,3,4,1,2023-01-31,2022-09-29,2022-12-14,https://doc.crds.dev/github.com/crossplane-contrib/provider-tencentcloud@v0.6.0,268,268,0,0
warmmike / provider-citbbs,Native,https://github.com/warmmike/provider-citbbs,,0,1,0,2023-01-30,2023-01-24,0001-01-01,,0,0,0,0
edgefarm / provider-nats,Native,https://github.com/edgefarm/provider-nats,,0,2,1,2023-01-30,2023-01-05,2023-02-23,https://doc.crds.dev/github.com/edgefarm/provider-nats@v0.1.0,5,5,0,0
crossplane-contrib / provider-gen-aws,Native,https://github.com/crossplane-contrib/provider-gen-aws,A Crossplane Provider that has been generated using AWS ACK Project,3,3,0,2023-01-28,2020-10-23,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kafka,Native,https://github.com/crossplane-contrib/provider-kafka,Crossplane provider for Kafka,19,13,7,2023-01-28,2021-10-06,2023-02-03,https://doc.crds.dev/github.com/crossplane-contrib/provider-kafka@v0.4.2,4,4,0,0
crossplane-contrib / terraform-provider-gen,Native,https://github.com/crossplane-contrib/terraform-provider-gen,,13,7,4,2023-01-28,2020-10-20,0001-01-01,,0,0,0,0
crossplane-contrib / provider-terraform-vsphere,Native,https://github.com/crossplane-contrib/provider-terraform-vsphere,An experimental @crossplane provider for @vmware vSphere,13,6,3,2023-01-28,2021-02-01,0001-01-01,,0,0,0,0
crossplane-contrib / provider-terraform-aws,Native,https://github.com/crossplane-contrib/provider-terraform-aws,An experimental Crossplane provider for @aws,1,6,0,2023-01-28,2020-12-15,0001-01-01,,0,0,0,0
crossplane-contrib / terraform-provider-dl,Native,https://github.com/crossplane-contrib/terraform-provider-dl,,3,8,1,2023-01-28,2021-03-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-rook,Native,https://github.com/crossplane-contrib/provider-rook,Crossplane Rook infrastructure provider,19,12,2,2023-01-28,2019-10-03,0001-01-01,,0,0,0,0
opentelekomcloud / provider-jet-opentelekomcloud,Terrajet,https://github.com/opentelekomcloud/provider-jet-opentelekomcloud,,2,2,1,2023-01-27,2022-01-20,0001-01-01,,0,0,0,0
dkb-bank / provider-opensearch,Upjet,https://github.com/dkb-bank/provider-opensearch,provider-opensearch,7,1,0,2023-01-26,2023-01-20,2023-02-20,https://doc.crds.dev/github.com/dkb-bank/provider-opensearch@v0.3.0,10,8,2,0
timgchile / provider-jet-mongodba,Terrajet,https://github.com/timgchile/provider-jet-mongodba,,0,1,0,2023-01-25,2022-03-21,0001-01-01,,0,0,0,0
METISES / provider-jet-rediscloud,Terrajet,https://github.com/METISES/provider-jet-rediscloud,,0,1,3,2023-01-25,2022-03-15,0001-01-01,,0,0,0,0
METISES / provider-jet-rediscloud,Terrajet,https://github.com/METISES/provider-jet-rediscloud,,0,1,3,2023-01-25,2022-03-15,0001-01-01,,0,0,0,0
METISES / provider-jet-cloudamqp,Terrajet,https://github.com/METISES/provider-jet-cloudamqp,,0,1,3,2023-01-25,2022-03-15,0001-01-01,,0,0,0,0
METISES / provider-jet-cloudamqp,Terrajet,https://github.com/METISES/provider-jet-cloudamqp,,0,1,3,2023-01-25,2022-03-15,0001-01-01,,0,0,0,0
METISES / provider-jet-elasticcloud,Terrajet,https://github.com/METISES/provider-jet-elasticcloud,,0,1,3,2023-01-25,2022-03-09,0001-01-01,,0,0,0,0
METISES / provider-jet-elasticcloud,Terrajet,https://github.com/METISES/provider-jet-elasticcloud,,0,1,3,2023-01-25,2022-03-09,0001-01-01,,0,0,0,0
METISES / provider-jet-imgix,Terrajet,https://github.com/METISES/provider-jet-imgix,,0,1,3,2023-01-25,2022-02-24,0001-01-01,,0,0,0,0
METISES / provider-jet-imgix,Terrajet,https://github.com/METISES/provider-jet-imgix,,0,1,3,2023-01-25,2022-02-24,0001-01-01,,0,0,0,0
linode / provider-linode,Upjet,https://github.com/linode/provider-linode,Provider Linode is a Crossplane provider for managing Linode Akamai Cloud Computing resources.,4,7,1,2023-01-25,2022-11-11,0001-01-01,,0,0,0,0
prakashmishra1598 / provider-jet-palette,Upjet,https://github.com/prakashmishra1598/provider-jet-palette,,0,0,0,2023-01-25,2023-01-25,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-datadog,Terrajet,https://github.com/crossplane-contrib/provider-jet-datadog,@crossplane provider to drive @datadog configuration control plane way,5,4,6,2023-01-25,2022-04-21,2022-04-22,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-datadog@v0.1.0,6,6,0,0
topfreegames / crossplane-provider-vault,Native,https://github.com/topfreegames/crossplane-provider-vault,This is a native crossplane provider for Hashicorp's Vault,3,14,2,2023-01-24,2022-10-03,2022-11-04,https://doc.crds.dev/github.com/topfreegames/crossplane-provider-vault@v0.3.1,6,6,0,0
crossplane-contrib / provider-newrelic,Native,https://github.com/crossplane-contrib/provider-newrelic,Crossplane NewRelic Provider,9,7,0,2023-01-24,2021-05-19,0001-01-01,,0,0,0,0
AntoineDao / upjet-provider-sysdig,Upjet,https://github.com/AntoineDao/upjet-provider-sysdig,An Upjet provider generated from the Terraform Sysdig Provider,0,1,0,2023-01-24,2023-01-24,0001-01-01,,0,0,0,0
crossplane-contrib / provider-sql,Native,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,59,8,37,2023-01-24,2020-10-05,2022-11-22,https://doc.crds.dev/github.com/crossplane-contrib/provider-sql@v0.6.0,16,16,0,0
remyleone / crossplane-scaleway-provider,Terrajet,https://github.com/remyleone/crossplane-scaleway-provider,Scaleway provider for Crossplane ,9,3,0,2023-01-23,2022-01-31,2022-02-14,https://doc.crds.dev/github.com/remyleone/crossplane-scaleway-provider@v0.0.1,41,41,0,0
mfkd / provider-test,Native,https://github.com/mfkd/provider-test,,0,1,0,2023-01-23,2023-01-23,0001-01-01,,0,0,0,0
haarchri / provider-opensearch,Upjet,https://github.com/haarchri/provider-opensearch,provider-opensearch,0,1,0,2023-01-22,2023-01-20,0001-01-01,,0,0,0,0
gruberdev / provider-vultr,Upjet,https://github.com/gruberdev/provider-vultr,,0,1,1,2023-01-21,2023-01-21,0001-01-01,,0,0,0,0
crossplane-contrib / provider-cloudflare,Native,https://github.com/crossplane-contrib/provider-cloudflare,A Cloudflare provider for Crossplane,24,2,8,2023-01-20,2021-03-10,0001-01-01,,0,0,0,0
crossplane-contrib / provider-ibm-cloud,Native,https://github.com/crossplane-contrib/provider-ibm-cloud,Crossplane provider for @ibm-cloud,14,6,2,2023-01-19,2020-10-14,0001-01-01,,0,0,0,0
devops-chris / provider-twingate,Upjet,https://github.com/devops-chris/provider-twingate,,0,1,0,2023-01-18,2023-01-18,0001-01-01,,0,0,0,0
nacef-labidi / provider-harbor,Upjet,https://github.com/nacef-labidi/provider-harbor,,0,1,0,2023-01-17,2023-01-17,0001-01-01,,0,0,0,0
renato0307 / cloud-provider-aws,Upjet,https://github.com/renato0307/cloud-provider-aws,,0,1,0,2023-01-17,2023-01-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-civo,Native,https://github.com/crossplane-contrib/provider-civo,,19,4,17,2023-01-17,2021-07-13,2022-10-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-civo@v0.1,4,4,0,0
CalinFlorescu / provider-gcp-haiilo,Upjet,https://github.com/CalinFlorescu/provider-gcp-haiilo,Custom crossplane provider for gcp,0,1,0,2023-01-17,2023-01-17,0001-01-01,,0,0,0,0
R3DRUN3 / provider-azuredevops,Upjet,https://github.com/R3DRUN3/provider-azuredevops,Crossplane provider for azure devops 🍡,4,1,0,2023-01-17,2023-01-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-aws,Terrajet,https://github.com/crossplane-contrib/provider-jet-aws,AWS Provider for Crossplane that is built with Terrajet.,38,5,39,2023-01-16,2021-08-09,2022-07-21,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-aws@v0.5.0-preview,780,780,0,0
yaskoo / provider-hetzner,Native,https://github.com/yaskoo/provider-hetzner,,0,1,0,2023-01-16,2023-01-16,0001-01-01,,0,0,0,0
dkb-bank / provider-zscaler-zpa,Upjet,https://github.com/dkb-bank/provider-zscaler-zpa,,0,1,0,2023-01-12,2022-10-31,0001-01-01,,0,0,0,0
cdloh / crossplane-provider-dynatrace,Upjet,https://github.com/cdloh/crossplane-provider-dynatrace,Dynatrace Provider for Crossplane using upjet,0,1,0,2023-01-12,2023-01-12,0001-01-01,,0,0,0,0
DavidBajus / provider-github-example,Upjet,https://github.com/DavidBajus/provider-github-example,Testing upjet ,0,1,0,2023-01-11,2023-01-11,0001-01-01,,0,0,0,0
maxnovawind / provider-jet-vault,Terrajet,https://github.com/maxnovawind/provider-jet-vault,,2,1,0,2023-01-10,2022-09-12,0001-01-01,,0,0,0,0
dwerder / uptest,Upjet,https://github.com/dwerder/uptest,,0,1,0,2023-01-10,2023-01-10,0001-01-01,,0,0,0,0
IBM / crossplane-provider-kubernetes,Native,https://github.com/IBM/crossplane-provider-kubernetes,Crossplane provider for k8s,3,6,0,2023-01-09,2021-10-29,2022-05-23,https://doc.crds.dev/github.com/IBM/crossplane-provider-kubernetes@v1.8.0,3,3,0,0
IBM / crossplane-provider-ibm-cloud,Native,https://github.com/IBM/crossplane-provider-ibm-cloud,IBM Bedrock version of Crossplane Provider for IBM Cloud,3,6,0,2023-01-09,2021-11-30,2022-05-23,https://doc.crds.dev/github.com/IBM/crossplane-provider-ibm-cloud@v1.8.0,15,13,2,0
anpolychrono / provider-openstack,Upjet,https://github.com/anpolychrono/provider-openstack,,0,1,0,2023-01-09,2023-01-09,0001-01-01,,0,0,0,0
ok-amba / provider-datadog,Upjet,https://github.com/ok-amba/provider-datadog,Crossplane Upjet provider for Data Dog,0,1,0,2023-01-09,2023-01-09,0001-01-01,,0,0,0,0
chicoribas / provider-github,Upjet,https://github.com/chicoribas/provider-github,,0,1,0,2023-01-09,2022-12-23,0001-01-01,,0,0,0,0
chicoribas / provider-sonar,Native,https://github.com/chicoribas/provider-sonar,Crossplane Sonar Provider,0,1,0,2023-01-09,2022-12-24,0001-01-01,,0,0,0,0
viveksyngh / provider-vcd,Upjet,https://github.com/viveksyngh/provider-vcd,Crossplane provider for vcd,0,1,0,2023-01-09,2023-01-09,0001-01-01,,0,0,0,0
JohannesRu / provider-cloudfoundry,Upjet,https://github.com/JohannesRu/provider-cloudfoundry,,0,1,0,2023-01-08,2023-01-08,0001-01-01,,0,0,0,0
antonum / upjet-rediscloud,Upjet,https://github.com/antonum/upjet-rediscloud,Experimental Crossplane provider for RedisCloud,2,1,0,2023-01-06,2022-11-04,0001-01-01,,0,0,0,0
james-martinez / provider-proxmox,Upjet,https://github.com/james-martinez/provider-proxmox,A Proxmox Provider for Crossplane,0,1,0,2023-01-05,2023-01-05,0001-01-01,,0,0,0,0
fosterm-mw / supernetes-upjet-provider,Upjet,https://github.com/fosterm-mw/supernetes-upjet-provider,,0,1,0,2023-01-03,2023-01-03,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-cloudflare,Terrajet,https://github.com/davidcollom/crossplane-jet-cloudflare,,2,2,4,2023-01-03,2022-03-14,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-cloudflare@0.0.1,65,65,0,0
stehessel / provider-stackrox,Native,https://github.com/stehessel/provider-stackrox,Crossplane Stackrox provider,0,1,5,2022-12-31,2022-12-29,0001-01-01,,0,0,0,0
topfreegames / upjet-provider-vault,Upjet,https://github.com/topfreegames/upjet-provider-vault,,0,13,1,2022-12-28,2022-12-15,0001-01-01,,0,0,0,0
jabbrwcky / provider-b2,Native,https://github.com/jabbrwcky/provider-b2,Backblaze B2 provider,0,1,0,2022-12-27,2022-12-27,0001-01-01,,0,0,0,0
toddtreece / crossplane-test,Native,https://github.com/toddtreece/crossplane-test,,0,2,2,2022-12-27,2022-12-27,0001-01-01,,0,0,0,0
ankasoftco / provider-jenkins,Native,https://github.com/ankasoftco/provider-jenkins,ServiceNow Jenkins Provider for Crossplane,2,1,0,2022-12-27,2022-11-11,0001-01-01,,0,0,0,0
stehessel / provider-redhat,Native,https://github.com/stehessel/provider-redhat,Crossplane RedHat provider,1,1,4,2022-12-26,2022-12-25,0001-01-01,,0,0,0,0
yfodil / crossplane-provider-scaleway,Upjet,https://github.com/yfodil/crossplane-provider-scaleway,,0,1,0,2022-12-23,2022-12-23,0001-01-01,,0,0,0,0
driosalido / provider-opsgenie,Upjet,https://github.com/driosalido/provider-opsgenie,,0,1,0,2022-12-23,2022-12-23,0001-01-01,,0,0,0,0
ok-amba / provider-opsgenie,Upjet,https://github.com/ok-amba/provider-opsgenie,Crossplane Upjet provider for OpsGenie,1,1,0,2022-12-22,2022-11-16,2022-12-09,https://doc.crds.dev/github.com/ok-amba/provider-opsgenie@v0.2.0,13,11,2,0
upbound / upjet-provider-template,Upjet,https://github.com/upbound/upjet-provider-template,A template for Upjet-based crossplane providers.,9,19,11,2022-12-22,2022-05-31,0001-01-01,,0,0,0,0
rspurgeon / provider-konnect,Native,https://github.com/rspurgeon/provider-konnect,Crossplane provider for Kong Konnect,0,1,0,2022-12-21,2022-12-21,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-gcp,Terrajet,https://github.com/crossplane-contrib/provider-jet-gcp,GCP Provider for Crossplane generated using Terrajet,14,4,25,2022-12-15,2021-10-26,2022-09-22,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-gcp@v0.3.0-preview,472,472,0,0
crossplane-contrib / provider-jet-azure,Terrajet,https://github.com/crossplane-contrib/provider-jet-azure,,18,7,37,2022-12-15,2021-09-01,2022-07-18,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-azure@v0.12.0-preview,660,660,0,0
ryakhovskiy / mssql-provider,Native,https://github.com/ryakhovskiy/mssql-provider,MSSQL Dummy Provider,0,1,0,2022-12-15,2022-12-15,0001-01-01,,0,0,0,0
